,id,author_id,text,created_at,source
0,1438249863892791298,1132449756888756224,RT @martinhoyes: #csr #sustainability #adp #corpgov #orgchart #workforceplanning #startups #workforceanalytics #upskilling #diversity #WFH…,2021-09-15T21:14:23.000Z,Twitter Web App
1,1438249822142664704,41595672,"RT @RivkahBrown: If WFH is a bonus, commuting is work. Unpaid work.",2021-09-15T21:14:13.000Z,Twitter for iPhone
2,1438249781520830464,1241331510965202944,RT @msamuelOfficial: Funniest part about WFH is “going to the office” with morning wood 😂 https://t.co/uevEvG89CT,2021-09-15T21:14:03.000Z,Twitter for Android
3,1438249614042271744,1026635630569086981,"RT @jhong: Expect more hugely successful startups founded by people in their late 30s, 40s, and even 50s, as WFH enables parent founders to…",2021-09-15T21:13:24.000Z,Twitter Web App
4,1438249539626885120,1132449756888756224,RT @martinhoyes: #csr #sustainability #adp #corpgov #sustainable #PeopleAnalytics #workforceplanning #startups #hrcommunity #upskilling #di…,2021-09-15T21:13:06.000Z,Twitter Web App
5,1438249536116428801,1260387931858010117,RT @msamuelOfficial: Funniest part about WFH is “going to the office” with morning wood 😂 https://t.co/uevEvG89CT,2021-09-15T21:13:05.000Z,Twitter for iPhone
6,1438249526452801538,879278528168153088,"The remote work argument has already been won by startups.
#wfh #FutureOfWork #Management
https://t.co/2ZpF7QzPKG via @TechCrunch by @alex https://t.co/knLOMByow3",2021-09-15T21:13:03.000Z,Buffer
7,1438249525525684224,284062488,"To keep myself awake while on break, I clean the house. Wfh has its perks too!",2021-09-15T21:13:02.000Z,Twitter for Android
8,1438249431070031873,2239772227,"Superior Iron Man was the first comic skin that was really marketed outside of launch as being this glorious comic book masterpiece, sadly it was still reusing assets with a different helmet but everyone gave it a pass because WFH and more.",2021-09-15T21:12:40.000Z,Twitter for Android
9,1438249392050429952,921180449245925376,RT @msamuelOfficial: Funniest part about WFH is “going to the office” with morning wood 😂 https://t.co/uevEvG89CT,2021-09-15T21:12:31.000Z,Twitter for iPad
10,1438249350686285824,1280228727729926144,"RT @SIEPR: As companies seek the optimal balance b/w #remotework &amp; filling offices, @Forbes asks: Should we embrace WFH 100%, or is a hybri…",2021-09-15T21:12:21.000Z,Twitter
11,1438249309137481731,1093655010,WFH for a few hours at my parents house today and had my music going. About 15 mins into a Hood jam the old man looks up and says I don’t know what band this is but this is really good. Did not expect that at all,2021-09-15T21:12:11.000Z,Twitter for iPhone
12,1438249210005102601,1362763899301294082,RT @msamuelOfficial: Funniest part about WFH is “going to the office” with morning wood 😂 https://t.co/uevEvG89CT,2021-09-15T21:11:47.000Z,Twitter for iPhone
13,1438249190488936454,1211498013559930881,RT @msamuelOfficial: Funniest part about WFH is “going to the office” with morning wood 😂 https://t.co/uevEvG89CT,2021-09-15T21:11:43.000Z,Twitter for iPhone
14,1438249153621106697,706261680918032384,RT @msamuelOfficial: Funniest part about WFH is “going to the office” with morning wood 😂 https://t.co/uevEvG89CT,2021-09-15T21:11:34.000Z,Twitter for iPhone
15,1438249125791813639,833223929011527680,I cannot tell you how excited we are to bring you WFH 95. So much time and effort from everyone involved. This will truly be something you don’t want to miss. SUNDAY 9/19 - 5pm EST @TeamHighGlobal_ https://t.co/kecduUGb32,2021-09-15T21:11:27.000Z,Twitter for iPhone
16,1438249082372431875,195869416,"D&amp;G light blue was my fav scent for 3 years, then it was Daisy for day and Baccarat Rouge 540 for night.

Now I’m obsessed with Angels Share. Lol day, night, WFH, beach lol I even wore it bed. My husband was like so… you’re addicted 😂",2021-09-15T21:11:17.000Z,Twitter for iPhone
17,1438249078916202497,1076380168459972608,RT @msamuelOfficial: Funniest part about WFH is “going to the office” with morning wood 😂 https://t.co/uevEvG89CT,2021-09-15T21:11:16.000Z,Twitter Web App
18,1438249055247872008,1378741737569550339,"Back in the City tomorrow, WFH is nearly over. I can feel it 😔",2021-09-15T21:11:10.000Z,Twitter for iPhone
19,1438249040072871944,804656467185897472,"RT @RivkahBrown: If WFH is a bonus, commuting is work. Unpaid work.",2021-09-15T21:11:07.000Z,Twitter for iPhone
20,1438248931264118784,178957043,"@schachin I think if I transition to WFH I'll definitely stop wearing button ups and slacks, but definitely change into something haha",2021-09-15T21:10:41.000Z,Twitter Web App
21,1438248905494482948,1310426899945062401,"I don't know if anyone has noticed my absence but I'm officially back online and posting.
I was really struggling with my ADD and having a hard time adjusting to WFH and managing my business. My partner helped put me on a schedule where i can do Ubereats and my art #lanimumbles",2021-09-15T21:10:35.000Z,Twitter for Android
22,1438248852587520007,747238125462663168,@chris_steller Nice Outside WFH Station Kind of Afternoon tho.,2021-09-15T21:10:22.000Z,Twitter for iPhone
23,1438248742839209984,178957043,"@DaksAhoy Just something to feel like I'm going to be productive. If I transition to WFH (hopefully soon), I am planning on doing the same.",2021-09-15T21:09:56.000Z,Twitter Web App
24,1438248719036698627,319150371,"RT @RivkahBrown: If WFH is a bonus, commuting is work. Unpaid work.",2021-09-15T21:09:50.000Z,Twitter for iPhone
25,1438248663273332739,735838129115004928,"RT @EllaHughesXXX: Taking a slut break, currently half way through filming customs ..... WFH is difficult when 1 person has a ‘normal’ job…",2021-09-15T21:09:37.000Z,Twitter for Android
26,1438248541948989441,4083531,WFH or in-person? Learn about these 4 challenges facing remote workers https://t.co/cbjHmcFMEU by @TechRepublic #WFH #remotework,2021-09-15T21:09:08.000Z,HubSpot
27,1438248512005697536,815849309304340481,RT @Maebaan101: ตั้งใจมาแชร์สำหรับ The beginner ไม่ว่าจะคุณแม่บ้านหรือคุณพ่อบ้านที่ wfh กันมากขึ้น และรู้สึกว่างานบ้านคือภาระและน่าเบื่อ ห…,2021-09-15T21:09:01.000Z,Twitter for iPhone
